# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
3.919231e-01 5.471154e-02 7.027692e-01 2.202564e-09 8.757692e-01 1.764744e-01 -7.250000e-01 1.884615e-01 3.801154e+00 1.423077e-02 
2.216154e-01 5.048077e-02 6.621538e-01 2.766667e-09 8.973077e-01 -4.514744e-01 -1.003205e+00 1.361538e-01 2.757308e+00 4.423077e-02 
3.111538e-01 4.386538e-02 7.384615e-01 1.161538e-09 1.067308e+00 -9.204487e-01 -2.376282e+00 2.776923e-01 4.385000e+00 2.948718e-03 
3.974615e-01 4.775000e-02 6.051282e-01 1.710256e-09 9.180769e-01 -1.851923e-01 -5.185897e-01 4.853846e-01 2.975513e+00 -3.987179e-02 
2.746970e-01 4.519192e-02 6.994276e-01 2.485185e-09 9.756734e-01 -1.066667e+00 -3.409091e-01 1.265152e-01 2.665320e+00 -2.161616e-02 
2.974242e-01 4.894949e-02 6.681145e-01 1.981481e-09 9.893098e-01 -1.123232e+00 -7.196970e-01 7.590909e-02 3.617508e+00 2.727273e-02 
3.468182e-01 4.907071e-02 7.176094e-01 1.838721e-09 9.556397e-01 -8.767677e-01 4.116162e-01 1.065152e-01 2.778451e+00 5.858586e-03 
2.753030e-01 4.767677e-02 6.832660e-01 2.029966e-09 9.509259e-01 -1.200000e+00 -9.570707e-01 7.439394e-02 3.202694e+00 -9.090909e-03 
2.943939e-01 4.537374e-02 7.388215e-01 1.930303e-09 9.965488e-01 -9.050505e-01 -4.520202e-01 1.204545e-01 2.745455e+00 1.919192e-02 
3.259091e-01 4.941414e-02 6.576768e-01 2.272391e-09 9.790404e-01 -8.545455e-01 4.823232e-01 1.183333e-01 3.537374e+00 -1.212121e-02 
2.656061e-01 4.804040e-02 7.132323e-01 2.396296e-09 9.970539e-01 -1.115152e+00 -3.459596e-01 1.001515e-01 3.306397e+00 -2.202020e-02 
3.168182e-01 4.963636e-02 6.778788e-01 1.784848e-09 9.677609e-01 -7.636364e-01 6.818182e-02 6.318182e-02 2.514478e+00 -6.060606e-03 
3.410606e-01 4.624242e-02 6.617172e-01 2.188889e-09 9.574916e-01 -1.064646e+00 -5.075758e-01 1.471212e-01 3.230976e+00 2.020202e-02 
2.865152e-01 4.870707e-02 6.549832e-01 1.706734e-09 9.990741e-01 -8.848485e-01 8.838384e-02 1.180303e-01 2.726599e+00 5.454545e-03 
3.040909e-01 4.975758e-02 7.041414e-01 2.285859e-09 9.532828e-01 -9.393939e-01 -6.035354e-01 1.328788e-01 3.603367e+00 2.444444e-02 
3.328788e-01 4.529293e-02 7.091919e-01 2.048822e-09 9.686027e-01 -1.260606e+00 -4.823232e-01 6.984848e-02 2.783165e+00 -1.232323e-02 
2.756061e-01 4.901010e-02 6.839394e-01 1.704040e-09 9.729798e-01 -1.224242e+00 -5.808081e-02 7.833333e-02 2.533333e+00 1.494949e-02 
3.140909e-01 4.525253e-02 6.529630e-01 2.035354e-09 9.654040e-01 -8.666667e-01 -9.873737e-01 1.404545e-01 3.047138e+00 -1.131313e-02 
3.325758e-01 4.884848e-02 7.297306e-01 2.436700e-09 9.968855e-01 -9.151515e-01 1.085859e-01 9.984848e-02 3.301684e+00 -3.232323e-03 
2.762121e-01 4.727273e-02 6.472391e-01 2.062290e-09 9.669192e-01 -7.838384e-01 1.792929e-01 1.425758e-01 3.424242e+00 1.414141e-03 
3.156061e-01 5.060606e-02 7.293939e-01 2.471717e-09 9.613636e-01 -1.167677e+00 -7.828283e-02 7.681818e-02 3.042424e+00 -1.090909e-02 
3.280303e-01 4.618182e-02 6.930303e-01 1.774074e-09 9.886364e-01 -1.048485e+00 -8.207071e-01 9.924242e-02 2.321212e+00 1.232323e-02 
2.704545e-01 4.917172e-02 6.866330e-01 1.986869e-09 9.531145e-01 -8.989899e-01 -7.045455e-01 1.489394e-01 3.089562e+00 -1.575758e-02 
3.071212e-01 4.674747e-02 6.452189e-01 2.275084e-09 9.975589e-01 -1.159596e+00 2.045455e-01 1.004545e-01 3.542088e+00 -8.080808e-04 
3.316667e-01 4.840404e-02 7.364646e-01 1.887205e-09 9.763468e-01 -9.838384e-01 -1.742424e-01 7.409091e-02 2.406061e+00 2.101010e-02 
2.780303e-01 5.090909e-02 6.785522e-01 2.024579e-09 9.950337e-01 -1.012121e+00 -5.782828e-01 1.456061e-01 2.566330e+00 -2.424242e-03 
3.198485e-01 4.646465e-02 7.273737e-01 1.919529e-09 9.536195e-01 -1.157576e+00 3.560606e-01 1.150000e-01 3.174411e+00 -1.818182e-02 
3.231818e-01 4.757576e-02 6.448822e-01 2.337037e-09 9.760101e-01 -7.717172e-01 -1.287879e-01 6.378788e-02 3.320539e+00 1.575758e-02 
2.640909e-01 4.610101e-02 7.081818e-01 1.941077e-09 9.692761e-01 -8.000000e-01 -2.954545e-01 1.462121e-01 2.915152e+00 1.959596e-02 
3.065152e-01 4.997980e-02 6.906734e-01 2.148485e-09 9.625421e-01 -1.165657e+00 4.469697e-01 6.590909e-02 2.415488e+00 -1.616162e-03 
3.225758e-01 4.749495e-02 6.634007e-01 2.347811e-09 9.852694e-01 -9.434343e-01 -9.166667e-01 9.469697e-02 3.645791e+00 -2.565657e-02 
